,channelTitle,viewCount,likeCount,commentCount,definition,caption,subscribers,totalViews,totalVideos,avg polarity score,Label,pushblishYear,durationSecs,tagCount,title length,description length
0,19,190224,4957,567,0,0,2710000,129809111,171,0.199642441,1,2022,3868.0,342,40,1562
1,19,5174623,81494,4871,0,0,2710000,129809111,171,0.305359915,1,2018,8727.0,396,39,1559
2,19,2112507,36594,1736,0,1,2710000,129809111,171,0.300777475,1,2020,7590.0,479,62,1889
3,19,3461546,51637,2153,0,0,2710000,129809111,171,0.304859164,1,2017,7362.0,499,58,1464
4,19,8154940,146493,5377,0,1,2710000,129809111,171,0.28801038,1,2018,2897.0,516,61,2370
5,19,1233028,26937,991,0,1,2710000,129809111,171,0.292414126,1,2020,4153.0,427,47,1551
6,19,4407624,114048,3743,0,0,2710000,129809111,171,0.305220562,1,2021,4174.0,320,46,1168
7,19,975813,19901,1530,0,0,2710000,129809111,171,0.304040001,1,2021,3756.0,335,36,1681
8,19,120348,5135,509,0,0,2710000,129809111,171,0.304191157,1,2022,4976.0,236,48,1312
9,19,106948,2393,350,0,0,2710000,129809111,171,0.304021116,1,2022,1982.0,190,23,881
10,19,1454140,36800,1265,0,0,2710000,129809111,171,0.316983529,1,2020,2983.0,525,47,973
11,19,979521,21316,596,0,0,2710000,129809111,171,0.32998589,1,2020,4801.0,181,48,969
12,24,970073,11115,339,0,0,140000,8679674,161,0.008201527,0,2019,235.0,412,46,1193
13,24,1480911,11950,860,0,0,140000,8679674,161,0.298686725,0,2018,284.0,427,51,434
14,24,555353,9312,335,0,0,140000,8679674,161,0.295887563,0,2021,321.0,314,59,637
15,24,324333,5373,266,0,0,140000,8679674,161,0.296791665,0,2018,180.0,434,50,335
16,24,43325,332,23,0,0,140000,8679674,161,0.296836998,0,2021,263.0,344,59,992
17,24,343043,1872,143,0,0,140000,8679674,161,0.295481841,0,2017,184.0,309,63,237
18,17,3673,69,24,0,0,313000,47877331,558,0.198785336,1,2016,1295.0,138,75,169
19,36,901997,20709,711,0,0,6130000,410887617,1340,0.298574288,1,2020,4103.0,0,54,1283
20,36,284980,7070,712,0,0,6130000,410887617,1340,0.297747302,1,2020,5768.0,47,46,1587
21,36,3363823,80284,2006,0,1,6130000,410887617,1340,0.304058677,1,2019,8373.0,230,63,1900
22,36,123760,3910,138,0,0,6130000,410887617,1340,0.315448699,1,2022,6115.0,0,55,2133
23,36,2152323,51435,1589,0,1,6130000,410887617,1340,0.340712764,1,2020,24728.0,0,78,2843
24,36,526246,15421,540,0,1,6130000,410887617,1340,0.34225214,1,2022,12356.0,0,76,877
25,25,1827,15,8,0,0,8,2309,10,0.304060743,0,2022,1033.0,0,33,188
26,22,559351,9417,647,0,1,783000,39953957,218,0.306646739,1,2018,765.0,117,41,1941
27,22,691219,21916,1220,0,1,783000,39953957,218,0.309100867,1,2018,365.0,99,47,1291
28,22,402319,9957,494,0,1,783000,39953957,218,0.309704349,1,2018,433.0,103,51,1770
29,22,191324,4545,260,0,1,783000,39953957,218,0.310380945,1,2019,707.0,113,58,1365
30,22,296298,9987,769,0,0,783000,39953957,218,0.31299944,1,2021,995.0,90,47,1815
31,22,84351,1497,171,0,0,783000,39953957,218,0.313356599,1,2019,880.0,117,55,1262
32,22,181268,2635,288,0,0,783000,39953957,218,0.31422332,1,2018,913.0,94,16,1624
33,22,242307,7205,550,0,0,783000,39953957,218,0.315213116,1,2018,691.0,159,40,1153
34,34,24938,596,28,0,0,4920,567856,76,0.315622786,1,2021,233.0,356,96,1417
35,26,368,12,2,0,0,161,42532,36,0.315657977,0,2021,1313.0,514,59,1502
36,26,3217,22,2,0,0,161,42532,36,0.315587143,0,2022,191.0,521,66,534
37,7,188,7,15,0,0,25,494,5,0.315596789,0,2020,2100.0,0,61,248
38,16,3265,63,16,0,0,1550,99183,88,0.315619842,0,2021,986.0,80,69,218
39,16,2636,28,3,0,0,1550,99183,88,0.316986866,0,2021,968.0,74,66,85
40,4,63528,1485,114,0,0,304000,10368600,167,0.316757085,1,2022,1435.0,538,54,1119
41,4,625054,14441,695,0,0,304000,10368600,167,0.317959308,1,2021,1406.0,304,35,1736
42,4,940065,32553,2063,0,0,304000,10368600,167,0.324508556,1,2021,40905.0,521,30,4981
43,4,229191,8093,533,0,0,304000,10368600,167,0.326378571,1,2021,760.0,437,36,1439
44,4,138669,4734,228,0,0,304000,10368600,167,0.327098238,1,2021,5309.0,506,49,2084
45,4,1173183,35034,1328,0,0,304000,10368600,167,0.327906749,1,2021,3550.0,352,47,1712
46,3,47486,194,8,0,0,29300,5078668,487,0.327924304,0,2017,810.0,196,80,2128
47,3,215895,816,189,0,0,29300,5078668,487,0.329180913,0,2016,483.0,162,66,1685
48,3,5478,88,4,0,0,29300,5078668,487,0.32914425,0,2020,608.0,182,62,1036
49,3,4323,44,3,0,0,29300,5078668,487,0.329137654,0,2020,280.0,182,59,1338
50,30,197624,9476,357,0,1,48700,1169922,43,0.331201998,1,2022,657.0,347,74,2985
51,30,15292,926,99,0,0,48700,1169922,43,0.331391823,1,2022,811.0,347,85,3079
52,39,808485,19232,855,0,0,102000,4751838,66,0.333513707,1,2021,2996.0,513,60,2365
53,33,1058718,25923,672,0,0,1020000,73605148,482,0.335742282,1,2018,3384.0,523,23,1783
54,33,818766,27317,797,0,0,1020000,73605148,482,0.336954423,1,2019,1252.0,532,39,1178
55,33,526349,18847,475,0,0,1020000,73605148,482,0.338254894,1,2019,431.0,528,34,1041
56,33,145282,8206,244,0,0,1020000,73605148,482,0.338943285,1,2019,528.0,533,28,1199
57,33,144039,6886,159,0,0,1020000,73605148,482,0.339411615,1,2019,470.0,536,38,1389
58,33,202042,8527,219,0,0,1020000,73605148,482,0.339913939,1,2019,255.0,521,39,1068
59,14,325235,13978,989,0,0,596000,43075317,517,0.340272123,1,2020,855.0,524,45,1529
60,14,204671,8997,268,0,0,596000,43075317,517,0.340812059,1,2020,1092.0,379,40,1669
61,14,28410,642,40,0,0,596000,43075317,517,0.340802325,1,2020,1809.0,476,53,1796
62,14,315420,6503,209,0,0,596000,43075317,517,0.341150315,1,2018,361.0,117,48,1217
63,14,266703,10013,239,0,0,596000,43075317,517,0.341919094,1,2021,2044.0,220,26,1962
64,13,265436,11348,512,0,0,391000,18983468,81,0.342282195,1,2021,2415.0,523,64,1390
65,13,123855,3963,245,0,0,391000,18983468,81,0.342891214,1,2021,7739.0,520,62,1046
66,13,35346,1406,130,0,0,391000,18983468,81,0.342977964,1,2020,1859.0,525,57,1043
67,13,6504,378,74,0,0,391000,18983468,81,0.343016701,1,2020,1049.0,514,34,1489
68,28,11240,128,57,0,0,431,85028,92,0.343005653,0,2020,319.0,450,88,688
