Authorname,Comments
Alaa Darwish,"يعطيكن العافية وشكراً على الدعم 
بدي منكن دعم كبير لتستمر السلسلة وكل الحب الكم"
mahmoud mohamed,اية العظمة دى .... انا اول مرة الاقى كورس فى المجال دة بشرح وافى ومرتب كدة متابع جدا وياريت متوقفش السلسلة دى فعلا جزاك الله كل خير
Esraa Moawad,الشرح مرتب وجميل وفعلا فعلا الكورس يعتبر كنز عظيم
Noura Ghanem,الله يعطيك الف عافة استاذ علاء ...كورس رائع تستحق كل احترام ...
alaa ayman,That's an amazing content with a very nice and informative explanation way . Thank you so much :)
Amran malih,"مستنين باقي السلسلة شكرا الك كتير 😍ربي يجزاك الخير ، شرح سلس وجميل ورائع ربي يقويك ⁦❤️⁩⁦❤️⁩⁦❤️⁩🌹
فخر سوريا 😂😍"
Ema Maya,"الشرح بسيط وسهل واهم شي ممتع 
شكراااا 🙏🙏🙏⁦❤️⁩"
marwan,شرح مبسط وعميق تسلم ايدك وربنا يجعله ف ميزان حسناتك
Hada Foxer,شكرا كثيرا على كل هالمعلومات التي تقدمها و جعلها الله لك في ميزان حسنانك 😇😊...
Nema Nael,يعطيكك الف عاففية يبشمهندس ربنا يباركلك ويرزقك🖤🖤
معالي الشمري,يعطيك العافية شرح مفيد الله يسعدك يارب 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
Alia lilo,"بجد بجد رائع جدا
ومفيش وصف معبر كفايه 💙
شكرا جدا 💙💙"
Romio khalil,شرحك سلس وبسيط شكرا مستنيين باقي الحلقات
على عنتر _ Ali Antir,الله يجازيك خير يارب استفدت كتير ولسه بتابع بقيت الفيديوهات والكورس كامل
Noorulhoda Khaled,درس رائع جزاكم الله خيرا
Lina DX,الله يعطيك الف عافية يا استاذ
Enlightened,المحتوي فعلا مميز يا علاء .. أكتر من مفيد ومختصر .. تحياتي
Abcd Efjh,برك الله فيك أستاذة علاء ربي يجازيك ❤️
Mo3az Ibrahem,شكرا لك .. دروس ممتعة ومفيدة جدا
wael shamale,"رااائع الله يعطيك العلفية يااااارب..
الله يرزقك ويجعلها بميزان حسناتك"
Hadi Ryad,"مشكور استاذ علاء
الحمد لله بطبق هي القواعد قبل ما اعرف ان في قواعد اصلا💜"
Mohamed Gamal,"بسم الله ما شاء الله 
انا متابع السلسه وفعلا حضرتك متمكن جدا حتي شرحك واسلوبك سلس جدا 
اتمني لك التوفيق دائما 
تحياتي"
Zyad Adel,اقسم بالله انت ممتاز فش الشرح والبساطه والاداء وبتقول كميه معومات فعلا زي ماقولت مش هنلاقيها غير مدفوعه  لو ربنا كرمني واشتغلت بعد كدا هذا المجال هدعيلك كتير
Ahmed Gomaa,بنستنى الحلقات استمر شكرا جدا المحتوى مش موجود عربى وصعب جدا تلاقية اجنبى وتفهمو 100% بجد متشكرين جدا
David Magdy,روووعة الدرس ده ... شكرا ليك
Kamal TAZOUDA,شكرا جزيلا سيدي الفاضل على هاد المجهود الجبار تفسير رائع .
Reyaad Elkomy18,برافو عليك أنا استفدت جداً، ربنا يوفقك
Majdoub Wided,ربي يباركلك شرحك ممتاز
Besan Alhaj,يعطيك ألف عافية أستاذ
Ahmed A.Nafea,عااااش جدا منتظرين الباقي ❤️⁩⁦❤️
Noor Mohssin,شكرا جدا ع الدوره مفيده جدا جزاك الله خيرا ⁦🤲🏻⁩🌸 ممكن اعرف هل لازم استخدم فونتين مختلفين ف الدايزين و لا يفضل فونت واحد بس ليا اكتر من وزن !
Nada Fraihat,شكر جزيل لحضرتك .. انا كنت مكملة فرونت ايند وفعلا كنت بعاني من هي المشاكل والحمدلله عرفت انه في قواعد لازم التزم فيها
Houssem Chabani,شرح مبسط شكرا لك
Lucky المحضوض,استمر تستحق الدعم شكرا  لمشراكه خبراتك 😇
Mohamad Abuaasy,شرح اكثر من رائع
طريق احلامك,انا من اشد المعجبين استاذ علاء عنجد شكرا الك اول مرة بلاقي شي مفيد باليوتيوب
Lamiaa anaa,أنت مبدع وفنان وشرحك بطل ما شاء الله
Esmail Salah,انا شايف ان مربع الnext متناسق مع create account لان الكلمتين تقريبا نفس الحجم لكن ممكن نصغر المربع بدون م نغير حجم الكلمة ف حين انه كدا افضل
Hossam Mostafa,شرحك سلس وبسيط شكرااااا
Mona Younis,الاسلوب واضح ومفهوم ... شكرا لجهودك
Najwa Al moh,شكرا لك شرح واضح جدا
Bouchra Karim,"شرح موفق عشت 
بس ملاحظة صغيرة عندي 
لما تخلص شرح لاساسيات أكاديمية مثل هيك أتمنى تضع خلاصة للأساسيات أو القواعداللي أنت ذكرتها على شكل عوارض علشان نتكتب هذه الاساسيات ونحفضها موش نعيد الفيديو وانتبع واحدة واحدة وشكرا"
m3taz ismail,"يعطيك العافي استاذ علي دويش درس حلو كتير متل ماعودتنا 
 ممكن شارك الفيديو على مجموعة خيال او انت ياريت تشاركه"
Ahmed Ali,استمر اسلوبك مميز ومفهوم شكرا جدا ليك
FATIMAH AHMD,الف شكر 🙏 يا فنان
Funny,ممتاز جدا ربنا يبارك لك
عبد الرحمن العماد,"يا ولد 
قسم بالله انك مبدع 
تستحق رفع القبعه"
dema11m alqhtani,ابدعت استاذ علاء 👌🏻
lily ahmed,جزاك الله خيرا 🌸🌸
Ali Hammad,شكرا ع الدروس القيمه
English with toustous,راااائع صديقي ❤️ 😍
