,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,video_id,avg polarity score,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,subscribers,totalViews,totalVideos
0,0.0,0.0,0.0,0.0,0,jGwO_UgTS7I,0.277472727,Stanford Online,"Stanford CS229: Machine Learning Course, Lecture 1 - Andrew Ng (Autumn 2018)","For more information about Stanford’s Artificial Intelligence professional and graduate programs, visit: https://stanford.io/2Ze53pq

Listen to the first lecture in Andrew Ng's machine learning course. This course provides a broad introduction to machine learning and statistical pattern recognition. Learn about both supervised and unsupervised learning as well as learning theory, reinforcement learning and control. Explore recent applications of machine learning and design and develop algorithms for machines.

Andrew Ng is an Adjunct Professor of Computer Science at Stanford University. View more about Andrew on his website: https://www.andrewng.org/
 
To follow along with the course schedule and syllabus, visit: 
http://cs229.stanford.edu/syllabus-autumn2018.html

05:21 Teaching team introductions
06:42 Goals for the course and the state of machine learning across research and industry
10:09 Prerequisites for the course
11:53 Homework, and a note about the Stanford honor code
16:57 Overview of the class project
25:57 Questions","['Andrew Ng', 'Computer Science', 'Stanford', 'Machine Learning', 'Graduate Course', 'Artificial Intelligence', 'AI', 'Stanford Online', 'ML']",2020-04-17T20:07:45Z,1410150,18797,,76,PT1H15M20S,hd,True,369000,20517888,1850
1,1.0,1.0,1.0,1.0,1,4b4MUYve_U8,0.234844068,Stanford Online,Stanford CS229: Machine Learning - Linear Regression and Gradient Descent |  Lecture 2 (Autumn 2018),"For more information about Stanford’s Artificial Intelligence professional and graduate programs, visit: https://stanford.io/3pqkTry

This lecture covers supervised learning and linear regression.

Andrew Ng 
Adjunct Professor of Computer Science 
https://www.andrewng.org/
 
To follow along with the course schedule and syllabus, visit: 
http://cs229.stanford.edu/syllabus-autumn2018.html","['Stanford', 'Stanford Online', 'Andrew Ng', 'Linear Regression', 'Gradient Descent', 'CS229', 'AI', 'Artificial Intelligence', 'Machine Learning', 'Algorithm']",2020-04-17T20:08:06Z,561083,6564,,31,PT1H18M17S,hd,True,369000,20517888,1850
2,2.0,2.0,2.0,2.0,2,het9HFqo1TQ,0.236256923,Stanford Online,Locally Weighted & Logistic Regression | Stanford CS229: Machine Learning - Lecture 3 (Autumn 2018),"For more information about Stanford’s Artificial Intelligence professional and graduate programs, visit: https://stanford.io/2ZdTL4x

Andrew Ng 
Adjunct Professor of Computer Science
https://www.andrewng.org/
 
To follow along with the course schedule and syllabus, visit: 
http://cs229.stanford.edu/syllabus-autumn2018.html","['Stanford', 'Stanford Online', 'Andrew Ng', 'AI']",2020-04-17T20:08:31Z,264242,2629,,10,PT1H19M34S,hd,True,369000,20517888,1850
3,3.0,3.0,3.0,3.0,3,iZTeva0WSTQ,0.237892647,Stanford Online,Lecture 4 - Perceptron & Generalized Linear Model | Stanford CS229: Machine Learning (Autumn 2018),"For more information about Stanford’s Artificial Intelligence professional and graduate programs, visit: https://stanford.io/3GnSw3o

Anand Avati
PhD Candidate and CS229 Head TA
 
To follow along with the course schedule and syllabus, visit: 
http://cs229.stanford.edu/syllabus-autumn2018.html","['Stanford', 'Stanford Online', 'CS229', 'AI', 'Artificial Intelligence']",2020-04-17T20:08:49Z,129002,1091,,3,PT1H22M2S,hd,True,369000,20517888,1850
4,4.0,4.0,4.0,4.0,4,nt63k3bfXS0,0.244638571,Stanford Online,Lecture 5 - GDA & Naive Bayes | Stanford CS229: Machine Learning Andrew Ng (Autumn 2018),"For more information about Stanford’s Artificial Intelligence professional and graduate programs, visit: https://stanford.io/3GfTLkU

Andrew Ng 
Adjunct Professor of Computer Science
https://www.andrewng.org/
 
To follow along with the course schedule and syllabus, visit: 
http://cs229.stanford.edu/syllabus-autumn2018.html","['Stanford', 'Stanford Online', 'Andrew Ng', 'Cs229', 'AI', 'Artificial Intelligence']",2020-04-17T20:09:06Z,125920,1291,,8,PT1H18M52S,hd,True,369000,20517888,1850
5,5.0,5.0,5.0,5.0,5,lDwow4aOrtg,0.245375,Stanford Online,Lecture 6 - Support Vector Machines | Stanford CS229: Machine Learning Andrew Ng (Autumn 2018),"For more information about Stanford’s Artificial Intelligence professional and graduate programs, visit: https://stanford.io/3Gchxyg

Andrew Ng 
Adjunct Professor of Computer Science
https://www.andrewng.org/
 
To follow along with the course schedule and syllabus, visit: 
http://cs229.stanford.edu/syllabus-autumn2018.html","['Stanford', 'Stanford Online', 'Stanford Graduate lecture', 'CS229', 'AI', 'Andrew Ng']",2020-04-17T20:09:31Z,109299,1088,,2,PT1H20M57S,hd,True,369000,20517888,1850
6,6.0,6.0,6.0,6.0,6,8NYoQiRANpg,0.264657143,Stanford Online,Lecture 7 - Kernels | Stanford CS229: Machine Learning Andrew Ng (Autumn 2018),"For more information about Stanford’s Artificial Intelligence professional and graduate programs, visit: https://stanford.io/3GftN16

Andrew Ng 
Adjunct Professor of Computer Science
https://www.andrewng.org/
 
To follow along with the course schedule and syllabus, visit: 
http://cs229.stanford.edu/syllabus-autumn2018.html","['Stanford', 'Stanford Online', 'Andrew Ng', 'CS229', 'AI']",2020-04-17T20:10:13Z,79884,766,,6,PT1H20M25S,hd,True,369000,20517888,1850
7,7.0,7.0,7.0,7.0,7,rjbkWSTjHzM,0.268016667,Stanford Online,"Lecture 8 - Data Splits, Models & Cross-Validation | Stanford CS229: Machine Learning (Autumn 2018)","For more information about Stanford’s Artificial Intelligence professional and graduate programs, visit: https://stanford.io/3GfTUVJ

Andrew Ng 
Adjunct Professor of Computer Science
https://www.andrewng.org/
 
To follow along with the course schedule and syllabus, visit: 
http://cs229.stanford.edu/syllabus-autumn2018.html","['Stanford', 'Stanford Online', 'Andrew Ng', 'AI', 'CS229']",2020-04-17T20:10:23Z,57996,714,,1,PT1H23M26S,hd,True,369000,20517888,1850
8,8.0,8.0,8.0,8.0,8,iVOxMcumR4A,0.27109,Stanford Online,Lecture 9 - Approx/Estimation Error & ERM | Stanford CS229: Machine Learning (Autumn 2018),"For more information about Stanford’s Artificial Intelligence professional and graduate programs, visit: https://stanford.io/3ptwgyN

Anand Avati
PhD Candidate and CS229 Head TA
 
To follow along with the course schedule and syllabus, visit: 
http://cs229.stanford.edu/syllabus-autumn2018.html","['Stanford', 'Stanford Online', 'CS229', 'AI']",2020-04-17T20:10:33Z,39148,336,,4,PT1H26M3S,hd,True,369000,20517888,1850
9,9.0,9.0,9.0,9.0,9,wr9gUr-eWdA,0.255622619,Stanford Online,Lecture 10 - Decision Trees and Ensemble Methods | Stanford CS229: Machine Learning (Autumn 2018),"For more information about Stanford’s Artificial Intelligence professional and graduate programs, visit: https://stanford.io/3GdlrqJ

Raphael Townshend
PhD Candidate and CS229 Head TA
 
To follow along with the course schedule and syllabus, visit: 
http://cs229.stanford.edu/syllabus-autumn2018.html","['Stanford', 'Stanford Online', 'CS229', 'AI']",2020-04-17T20:10:41Z,77085,915,,7,PT1H20M41S,hd,True,369000,20517888,1850
